CASE Number,Accident Date,Accident Time,Day of Week,Nearest Street,At Intersection,Precinct,Zone ID,Number of Vehicles Involved,Location of First Harmful Event,Weather Condition,Light Conditions,Traffic Control Device,Traffic Control Type,Roadway Alignment,Roadway Surface Condition,Roadway Surface type,Roadway Description,Roadway defects,Relation to Roadway,Intersection Type,Work Zone Related,Workers Present in Work Zone,Work Zone Location,Work Zone Type,School Zone,Type of Collision,Location 1
2016008077.0,03/02/2016,1951,WED,300 BIRDNECK RD,Yes,2.0,225.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1000 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.842029, -75.993452)"
2016019566.0,05/18/2016,928,WED,HUTTON LA,Yes,2.0,222.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"2499 OCONEE AV
VIRGINIA BEACH, VA
(36.843584, -76.055849)"
2016026843.0,07/01/2016,1549,FRI,KINGS GRANT RD,Yes,3.0,321.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"3100 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.843304, -76.078667)"
2016020420.0,05/23/2016,1415,MON,FRONT COVE CT,Yes,2.0,221.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,SIDESWIPE-SAME DIRECTION,"2400 SHOREHAVEN DR
VIRGINIA BEACH, VA
(36.885432, -76.052256)"
2016025092.0,06/21/2016,920,TUE,32ND ST,Yes,2.0,226.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"3199 ARCTIC AV
VIRGINIA BEACH, VA
(36.859757, -75.981465)"
2016024989.0,06/20/2016,1635,MON,200 57TH ST,Yes,2.0,226.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"5700 ATLANTIC AVE
VIRGINIA BEACH, VA
(36.883339, -75.986554)"
2016024701.0,06/18/2016,1840,SAT,NEWTOWN RD,Yes,4.0,423.0,0,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,THREE APPROACHES,NO,,,,NO,OTHER,"605 NEWTOWN RD
VIRGINIA BEACH, VA
(36.860053, -76.17493)"
2016020951.0,05/26/2016,1623,THU,LYNNHAVEN PW,Yes,4.0,428.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, NOT DIVIDED",NO DEFECTS,MAIN-LINE ROADWAY,FOUR APPROACHES,NO,,,,NO,REAR END,"1298 ROSEMONT RD S
VIRGINIA BEACH, VA
(36.795462, -76.098528)"
2016024967.0,06/20/2016,1501,MON,NEW BRIDGE RD,Yes,1.0,122.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,REAR END,"1319 SANDBRIDGE RD
VIRGINIA BEACH, VA
(36.73204, -75.985165)"
2016027462.0,07/05/2016,5,TUE,WINDSOR OAKS BL,Yes,4.0,426.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1700 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.809185, -76.120376)"
2016017790.0,05/06/2016,1827,FRI,1898 S INDEPENDENCE BLVD,Yes,4.0,426.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1799 DAHLIA DR
VIRGINIA BEACH, VA
(36.802084, -76.112132)"
2016022430.0,06/04/2016,1330,SAT,EXPRESSWAY DR,Yes,4.0,427.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"300 EDWIN DR
VIRGINIA BEACH, VA
(36.83097, -76.126447)"
2016021495.0,05/29/2016,1626,SUN,LANGSTON RD,Yes,4.0,422.0,2,ON ROADWAY,RAIN,DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,CURVE-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"1098 KEMPSVILLE RD
VIRGINIA BEACH, VA
(36.806581, -76.170629)"
2016025360.0,06/22/2016,1715,WED,SULLIVAN BLVD,Yes,3.0,327.0,0,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, NOT DIVIDED",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"900 ARAGONA BLVD
VIRGINIA BEACH, VA
(36.866058, -76.146307)"
2016026978.0,07/02/2016,1015,SAT,GREENWELL RD,,3.0,329.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,REAR END,"4400 SHORE DR
VIRGINIA BEACH, VA
(36.905013, -76.123064)"
2016027382.0,07/04/2016,1510,MON,3401 EDINBURGH DR,Yes,3.0,321.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"501 LITTLE NECK RD
VIRGINIA BEACH, VA
(36.848036, -76.091811)"
2016022399.0,06/04/2016,659,SAT,NORTHAMPTON BL,Yes,3.0,329.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,YIELD SIGN,DIP-CURVE,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","ONE-WAY, NOT DIVIDED",NO DEFECTS,INTERSECTION AT END OF RAMP,TWO APPROACHES,NO,,,,NO,REAR END,"4609 SHORE DR
VIRGINIA BEACH, VA
(36.90364, -76.130419)"
2016025787.0,06/25/2016,947,SAT,WAXHAM CT,Yes,3.0,326.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"631 LAKE EDWARD DR
VIRGINIA BEACH, VA
(36.859842, -76.177761)"
2016008033.0,03/02/2016,1407,WED,ROSEMONT RD,Yes,3.0,321.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"3663 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.8403, -76.097852)"
2016024055.0,06/15/2016,1715,WED,NEWTOWN RD,Yes,3.0,326.0,0,ROADSIDE,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,THREE APPROACHES,NO,,,,NO,MOTORCYCLIST,"800 DIAMOND SPRINGS RD
VIRGINIA BEACH, VA
(36.866733, -76.170187)"
2016025205.0,06/21/2016,1951,TUE,199 PLAZA TR S,Yes,3.0,321.0,0,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,OTHER,"3401 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.841312, -76.091057)"
2016027551.0,07/05/2016,1358,TUE,SETTLERS PARK DR,Yes,4.0,425.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,CURVE-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"5098 INDIAN RIVER RD
VIRGINIA BEACH, VA
(36.789682, -76.164018)"
2016020955.0,05/27/2016,1725,FRI,2200 ARCTIC AV,Yes,2.0,227.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","ONE-WAY, NOT DIVIDED",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,THREE APPROACHES,NO,,,,NO,SIDESWIPE-SAME DIRECTION,"401 22ND ST
VIRGINIA BEACH, VA
(36.849649, -75.978814)"
2016026782.0,07/01/2016,701,FRI,800 DIAMOND SPRINGS RD,Yes,3.0,326.0,0,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"5500 WESLEYAN DR
VIRGINIA BEACH, VA
(36.871361, -76.172007)"
2016023051.0,06/08/2016,1134,WED,INDEPENDENCE BL,Yes,3.0,328.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"4600 PEMBROKE BL
VIRGINIA BEACH, VA
(36.862385, -76.132384)"
2016029070.0,07/15/2016,1430,FRI,6000 WESLEYAN DR,,3.0,326.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,CONCRETE,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,MAIN-LINE ROADWAY,NOT AT INTERSECTION,NO,,,,NO,REAR END,"5919 NORTHAMPTON BL
VIRGINIA BEACH, VA
(36.878653, -76.19055)"
2016026095.0,06/27/2016,705,MON,COMMERCE PKWY,Yes,2.0,224.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"145 LONDON BRIDGE RD
VIRGINIA BEACH, VA
(36.837725, -76.049853)"
2016023874.0,06/13/2016,1405,MON,PROSPERITY RD,Yes,2.0,228.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,INTERSECTION-RELATED-WITHIN 150`,FOUR APPROACHES,NO,,,,NO,REAR END,"1300 GENERAL BOOTH BL
VIRGINIA BEACH, VA
(36.793727, -75.995316)"
2016027649.0,07/05/2016,2330,TUE,BAKER RD,Yes,3.0,326.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,MAIN-LINE ROADWAY,FOUR APPROACHES,NO,,,,NO,ANGLE,"500 NEWTOWN RD
VIRGINIA BEACH, VA
(36.856547, -76.177085)"
2016028361.0,07/10/2016,1135,SUN,PARKS AV,Yes,2.0,227.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"700 22ND ST
VIRGINIA BEACH, VA
(36.848682, -75.984328)"
2016026141.0,06/27/2016,1200,MON,1300 BELLS RD,Yes,2.0,228.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"600 OCEANA BL
VIRGINIA BEACH, VA
(36.81911, -76.007717)"
2016024743.0,06/18/2016,2230,SAT,900 WINDSOR OAKS BL,Yes,4.0,426.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"1700 INDEPENDENCE BL S
VIRGINIA BEACH, VA
(36.809185, -76.120376)"
2016024921.0,06/20/2016,900,MON,EXPRESSWAY DR,Yes,4.0,427.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,STOP SIGN,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"4500 SOUTH BL
VIRGINIA BEACH, VA
(36.83299, -76.130437)"
2016025404.0,06/22/2016,2215,WED,2100 MEDITERRANEAN AV,Yes,2.0,227.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","ONE-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"600 21ST ST
VIRGINIA BEACH, VA
(36.848031, -75.982291)"
2016027097.0,07/02/2016,2250,SAT,BONNEY RD,,3.0,322.0,1,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,NO TRAFFIC CONTROL DEVICE PRESENT,NO TRAFFIC CONTROL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,NON-INTERSECTION,NOT AT INTERSECTION,NO,,,,NO,FIXED OBJECT-OFF ROAD,"100 HAPPY ST
VIRGINIA BEACH, VA
(36.838866, -76.108785)"
2016020032.0,05/21/2016,127,SAT,LYNNHAVEN PW,Yes,3.0,320.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,WET,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"2600 VIRGINIA BEACH BL
VIRGINIA BEACH, VA
(36.84116, -76.061592)"
2016021087.0,05/27/2016,1410,FRI,FORDHAM DR,Yes,4.0,422.0,3,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC LANES MARKED,CURVE-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO DEFECTS,WITHIN INTERSECTION,THREE APPROACHES,NO,,,,NO,ANGLE,"5300 KEMPSRIVER DR
VIRGINIA BEACH, VA
(36.802774, -76.174556)"
2016020198.0,05/22/2016,222,SUN,FOUNTAIN HALL DR,Yes,4.0,425.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DARKNESS-ROAD LIGHTED,YES-WORKING,TRAFFIC LANES MARKED,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,ANGLE,"4600 PLEASANT VALLEY RD
VIRGINIA BEACH, VA
(36.796013, -76.148568)"
2016045100.0,10/31/2016,1630,MON,SEABOARD RD,Yes,1.0,121.0,2,ON ROADWAY,NO ADVERSE CONDITION (CLEAR/CLOUDY),DAYLIGHT,YES-WORKING,TRAFFIC SIGNAL,STRAIGHT-LEVEL,DRY,"BLACKTOP, ASPHALT, BITUMINOUS","TWO-WAY, NOT DIVIDED",NO DEFECTS,WITHIN INTERSECTION,FOUR APPROACHES,NO,,,,NO,REAR END,"1855 PRINCESS ANNE RD
VIRGINIA BEACH, VA
(36.72792, -76.016944)"
